Date,Open,High,Low,Close,Volume
2020-11-23,1200.0,1420.0,1190.0,1360.0,122631900
2020-11-24,1380.0,1445.0,1370.0,1380.0,58830900
2020-11-25,1410.0,1555.0,1410.0,1465.0,72081900
2020-11-26,1470.0,1540.0,1470.0,1485.0,32396700
2020-11-27,1500.0,1610.0,1500.0,1600.0,64157400
2020-11-30,1620.0,1840.0,1570.0,1710.0,176402700
2020-12-01,1730.0,1820.0,1635.0,1765.0,79870700
2020-12-02,1795.0,1800.0,1725.0,1745.0,34284700
2020-12-03,1770.0,1800.0,1685.0,1705.0,35557100
2020-12-04,1730.0,1780.0,1720.0,1755.0,43182500
2020-12-07,1820.0,1820.0,1750.0,1755.0,40455100
2020-12-08,1800.0,2010.0,1785.0,1930.0,171171200
2020-12-10,1950.0,1980.0,1825.0,1870.0,58489800
2020-12-11,1905.0,1930.0,1835.0,1850.0,27620000
2020-12-14,1900.0,1975.0,1890.0,1965.0,53434800
2020-12-15,1990.0,2020.0,1920.0,1970.0,40671200
2020-12-16,2000.0,2020.0,1945.0,1965.0,32083200
2020-12-17,1955.0,1975.0,1870.0,1920.0,47291700
2020-12-18,1930.0,1935.0,1875.0,1880.0,21946900
2020-12-21,1905.0,2050.0,1840.0,1990.0,106571900
2020-12-22,1990.0,2010.0,1855.0,1875.0,57039900
2020-12-23,1885.0,1930.0,1745.0,1835.0,44083500
2020-12-28,1865.0,1890.0,1805.0,1840.0,16553300
2020-12-29,1900.0,1925.0,1840.0,1855.0,29386000
2020-12-30,1860.0,1870.0,1730.0,1730.0,45903800
2021-01-04,1725.0,1770.0,1610.0,1730.0,78286500
2021-01-05,1745.0,1795.0,1685.0,1690.0,40878400
2021-01-06,1690.0,1690.0,1575.0,1615.0,45077000
2021-01-07,1615.0,1775.0,1565.0,1750.0,83403100
2021-01-08,1790.0,1880.0,1760.0,1770.0,73713200
2021-01-11,1810.0,1880.0,1805.0,1870.0,71691200
2021-01-12,1880.0,1900.0,1805.0,1820.0,34828200
2021-01-13,1880.0,1985.0,1855.0,1920.0,120468600
2021-01-14,1980.0,2000.0,1855.0,1870.0,71616200
2021-01-15,1870.0,1875.0,1770.0,1790.0,54519200
2021-01-18,1790.0,1835.0,1695.0,1695.0,46035900
2021-01-19,1695.0,1795.0,1605.0,1695.0,54687800
2021-01-20,1695.0,1740.0,1655.0,1725.0,22603600
2021-01-21,1740.0,1765.0,1700.0,1705.0,16537600
2021-01-22,1705.0,1715.0,1605.0,1620.0,26696400
2021-01-25,1620.0,1660.0,1525.0,1530.0,29170800
2021-01-26,1535.0,1575.0,1425.0,1425.0,33695300
2021-01-27,1435.0,1470.0,1350.0,1405.0,30542400
2021-01-28,1380.0,1535.0,1350.0,1410.0,55920000
2021-01-29,1410.0,1540.0,1375.0,1465.0,44399300
2021-02-01,1465.0,1500.0,1395.0,1490.0,37514700
2021-02-02,1490.0,1530.0,1430.0,1435.0,22677900
2021-02-03,1435.0,1440.0,1395.0,1405.0,16048100
2021-02-04,1400.0,1530.0,1390.0,1515.0,48114700
2021-02-05,1530.0,1615.0,1530.0,1550.0,62956900
2021-02-08,1575.0,1610.0,1525.0,1550.0,26507900
2021-02-09,1550.0,1580.0,1480.0,1495.0,22361600
2021-02-10,1500.0,1510.0,1455.0,1485.0,9322400
2021-02-11,1480.0,1530.0,1470.0,1520.0,10043300
2021-02-15,1540.0,1545.0,1510.0,1520.0,7121000
2021-02-16,1530.0,1545.0,1510.0,1530.0,11052700
2021-02-17,1530.0,1535.0,1455.0,1460.0,16810200
2021-02-18,1455.0,1460.0,1425.0,1430.0,8990900
2021-02-19,1430.0,1440.0,1405.0,1420.0,5606500
2021-02-22,1440.0,1540.0,1425.0,1540.0,31482500
2021-02-23,1540.0,1575.0,1495.0,1505.0,27235600
2021-02-24,1510.0,1525.0,1450.0,1455.0,11366900
2021-02-25,1475.0,1495.0,1465.0,1480.0,7164900
2021-02-26,1475.0,1500.0,1440.0,1480.0,7266100
2021-03-01,1490.0,1510.0,1480.0,1490.0,7074500
2021-03-02,1500.0,1590.0,1500.0,1530.0,42142600
2021-03-03,1540.0,1555.0,1470.0,1485.0,15577100
2021-03-04,1485.0,1530.0,1445.0,1490.0,23717400
2021-03-05,1470.0,1480.0,1450.0,1465.0,7895000
2021-03-08,1480.0,1490.0,1405.0,1420.0,12140000
2021-03-09,1415.0,1435.0,1380.0,1400.0,11982900
2021-03-10,1400.0,1435.0,1380.0,1400.0,7779600
2021-03-12,1420.0,1565.0,1410.0,1505.0,61942200
2021-03-15,1515.0,1570.0,1510.0,1535.0,23263900
2021-03-16,1545.0,1585.0,1505.0,1510.0,24945700
2021-03-17,1515.0,1530.0,1495.0,1505.0,5822900
2021-03-18,1540.0,1570.0,1520.0,1540.0,23166200
2021-03-19,1540.0,1575.0,1520.0,1525.0,16792400
2021-03-22,1580.0,1710.0,1550.0,1680.0,88527100
2021-03-23,1700.0,1780.0,1680.0,1710.0,72388800
2021-03-24,1700.0,1700.0,1595.0,1595.0,40111800
2021-03-25,1595.0,1640.0,1520.0,1580.0,39497000
2021-03-26,1625.0,1625.0,1565.0,1595.0,14512400
2021-03-29,1605.0,1610.0,1535.0,1545.0,20356600
2021-03-30,1550.0,1550.0,1480.0,1480.0,20164100
2021-03-31,1485.0,1490.0,1400.0,1425.0,18338200
2021-04-01,1450.0,1475.0,1425.0,1460.0,11496800
2021-04-05,1465.0,1510.0,1455.0,1465.0,18533600
2021-04-06,1460.0,1480.0,1445.0,1450.0,8463400
2021-04-07,1450.0,1495.0,1450.0,1465.0,10072700
2021-04-08,1480.0,1530.0,1465.0,1530.0,15174600
2021-04-09,1530.0,1545.0,1480.0,1485.0,11781200
2021-04-12,1480.0,1490.0,1415.0,1415.0,9623900
2021-04-13,1415.0,1435.0,1370.0,1385.0,14496000
2021-04-14,1390.0,1420.0,1390.0,1415.0,6867200
2021-04-15,1415.0,1430.0,1400.0,1405.0,4385200
2021-04-16,1410.0,1440.0,1405.0,1425.0,6028200
2021-04-19,1455.0,1495.0,1395.0,1465.0,21819600
2021-04-20,1470.0,1500.0,1450.0,1465.0,8349500
2021-04-21,1455.0,1460.0,1420.0,1425.0,6195000
2021-04-22,1425.0,1435.0,1415.0,1420.0,4124600
2021-04-23,1430.0,1445.0,1405.0,1415.0,5308200
2021-04-26,1415.0,1435.0,1400.0,1405.0,4737900
2021-04-27,1410.0,1425.0,1395.0,1395.0,3729700
2021-04-28,1395.0,1415.0,1395.0,1415.0,2597100
2021-04-29,1420.0,1450.0,1415.0,1450.0,7958600
2021-04-30,1450.0,1465.0,1405.0,1420.0,7101000
2021-05-03,1430.0,1440.0,1390.0,1395.0,6202900
2021-05-04,1395.0,1435.0,1375.0,1430.0,16192700
2021-05-05,1435.0,1440.0,1405.0,1425.0,6771800
2021-05-06,1430.0,1525.0,1430.0,1480.0,40304900
2021-05-07,1505.0,1540.0,1455.0,1455.0,19871700
2021-05-10,1465.0,1470.0,1440.0,1450.0,8744000
2021-05-11,1470.0,1525.0,1445.0,1475.0,41097100
2021-05-17,1485.0,1520.0,1435.0,1435.0,21008000
2021-05-18,1435.0,1450.0,1415.0,1445.0,7187700
2021-05-19,1455.0,1495.0,1435.0,1440.0,13973600
2021-05-20,1440.0,1465.0,1365.0,1370.0,22564000
2021-05-21,1385.0,1410.0,1315.0,1330.0,17430200
2021-05-24,1370.0,1380.0,1300.0,1300.0,17165900
2021-05-25,1320.0,1360.0,1310.0,1320.0,13807900
2021-05-27,1330.0,1350.0,1300.0,1305.0,10601200
2021-05-28,1320.0,1325.0,1265.0,1275.0,9484800
2021-05-31,1290.0,1310.0,1275.0,1285.0,9844300
2021-06-02,1300.0,1430.0,1295.0,1430.0,36552500
