Date,Open,High,Low,Close,Volume
2022-07-06,7300.0,7325.0,7175.0,7300.0,66801100.0
2022-07-07,7225.0,7250.0,7100.0,7100.0,86126800.0
2022-07-08,7125.0,7175.0,7075.0,7150.0,64312400.0
2022-07-11,7200.0,7200.0,7125.0,7125.0,36830800.0
2022-07-12,7175.0,7250.0,7150.0,7175.0,34269000.0
2022-07-13,7100.0,7125.0,7000.0,7000.0,71988200.0
2022-07-14,7025.0,7100.0,7000.0,7025.0,83316300.0
2022-07-15,7100.0,7100.0,7000.0,7000.0,57419900.0
2022-07-18,7025.0,7150.0,7025.0,7150.0,60077700.0
2022-07-19,7100.0,7175.0,7100.0,7175.0,59641000.0
2022-07-20,7200.0,7400.0,7175.0,7400.0,105792900.0
2022-07-21,7400.0,7400.0,7250.0,7400.0,64337100.0
2022-07-22,7400.0,7400.0,7300.0,7325.0,38956500.0
2022-07-25,7350.0,7375.0,7300.0,7300.0,31247600.0
2022-07-26,7250.0,7375.0,7250.0,7300.0,44379900.0
2022-07-27,7325.0,7350.0,7275.0,7325.0,58465500.0
2022-07-28,7375.0,7450.0,7325.0,7350.0,86909700.0
2022-07-29,7400.0,7475.0,7350.0,7350.0,131553000.0
2022-08-01,7350.0,7500.0,7350.0,7500.0,104841600.0
2022-08-02,7600.0,7625.0,7500.0,7600.0,106466900.0
2022-08-03,7625.0,7625.0,7575.0,7625.0,60170600.0
2022-08-04,7675.0,7800.0,7650.0,7800.0,164221000.0
2022-08-05,7825.0,7875.0,7725.0,7875.0,118734200.0
2022-08-08,7875.0,7925.0,7750.0,7875.0,84328900.0
2022-08-09,7875.0,7975.0,7875.0,7900.0,92875800.0
2022-08-10,7800.0,7900.0,7725.0,7900.0,104376300.0
2022-08-11,7850.0,7950.0,7825.0,7950.0,73204700.0
2022-08-12,7925.0,7975.0,7850.0,7925.0,59381200.0
2022-08-15,7950.0,7975.0,7900.0,7950.0,81411000.0
2022-08-16,7950.0,7975.0,7850.0,7975.0,83556700.0
2022-08-18,7900.0,8025.0,7875.0,8000.0,86136900.0
2022-08-19,8050.0,8050.0,7900.0,7900.0,58194900.0
2022-08-22,7850.0,8000.0,7825.0,8000.0,97293300.0
2022-08-23,8000.0,8000.0,7900.0,7900.0,71671800.0
2022-08-24,7950.0,8025.0,7900.0,7950.0,108892400.0
2022-08-25,8000.0,8100.0,7900.0,8075.0,99503500.0
