Date,Open,High,Low,Adj Close,Volume
2020-01-02 00:00:00+07:00,7875.0,7875.0,7775.0,7353.52783203125,9301300
2020-01-03 00:00:00+07:00,7800.0,7875.0,7650.0,7377.1728515625,16125700
2020-01-06 00:00:00+07:00,7750.0,7750.0,7600.0,7211.6591796875,13124600
2020-01-07 00:00:00+07:00,7675.0,7700.0,7525.0,7140.72509765625,19024900
2020-01-08 00:00:00+07:00,7500.0,7525.0,7400.0,7022.50048828125,20463400
2020-01-09 00:00:00+07:00,7500.0,7700.0,7500.0,7282.59375,21885300
2020-01-10 00:00:00+07:00,7700.0,7825.0,7675.0,7306.23828125,20992500
2020-01-13 00:00:00+07:00,7750.0,7800.0,7700.0,7353.52783203125,12358300
2020-01-14 00:00:00+07:00,7825.0,7850.0,7725.0,7424.46240234375,20143400
2020-01-15 00:00:00+07:00,7800.0,7875.0,7650.0,7258.94873046875,17684900
2020-01-16 00:00:00+07:00,7675.0,7775.0,7625.0,7282.59375,19013700
2020-01-17 00:00:00+07:00,7700.0,7775.0,7675.0,7353.52783203125,16815000
2020-01-20 00:00:00+07:00,7725.0,7800.0,7525.0,7140.72509765625,17592300
2020-01-21 00:00:00+07:00,7575.0,7650.0,7500.0,7164.369140625,16451800
2020-01-22 00:00:00+07:00,7625.0,7700.0,7575.0,7211.6591796875,22245200
2020-01-23 00:00:00+07:00,7625.0,7725.0,7550.0,7235.30419921875,22077700
2020-01-24 00:00:00+07:00,7600.0,7775.0,7600.0,7282.59375,17851000
2020-01-27 00:00:00+07:00,7700.0,7700.0,7450.0,7046.14599609375,14189800
2020-01-28 00:00:00+07:00,7400.0,7475.0,7300.0,7069.79052734375,21492500
2020-01-29 00:00:00+07:00,7475.0,7525.0,7350.0,6951.56640625,16751900
2020-01-30 00:00:00+07:00,7350.0,7425.0,7250.0,6856.9873046875,13452000
2020-01-31 00:00:00+07:00,7300.0,7300.0,7100.0,6809.69775390625,27097500
2020-02-03 00:00:00+07:00,7100.0,7300.0,7075.0,6738.76416015625,20150200
2020-02-04 00:00:00+07:00,7225.0,7375.0,7175.0,6951.56640625,19660000
2020-02-05 00:00:00+07:00,7350.0,7425.0,7250.0,7022.50048828125,16080700
2020-02-06 00:00:00+07:00,7500.0,7525.0,7350.0,6951.56640625,16798500
2020-02-07 00:00:00+07:00,7400.0,7400.0,7350.0,6951.56640625,19617100
2020-02-10 00:00:00+07:00,7325.0,7325.0,7225.0,6927.92138671875,12079300
2020-02-11 00:00:00+07:00,7300.0,7375.0,7275.0,6904.27734375,8656900
2020-02-12 00:00:00+07:00,7300.0,7375.0,7275.0,6880.6318359375,11259100
2020-02-13 00:00:00+07:00,7275.0,7425.0,7275.0,6998.8564453125,20515700
2020-02-14 00:00:00+07:00,7375.0,7600.0,7325.0,7117.080078125,25732900
2020-02-17 00:00:00+07:00,7600.0,7650.0,7525.0,7211.6591796875,14490000
2020-02-18 00:00:00+07:00,7650.0,7750.0,7600.0,7282.59375,23322900
2020-02-19 00:00:00+07:00,7675.0,7825.0,7625.0,7353.52783203125,25852300
2020-02-20 00:00:00+07:00,7800.0,7950.0,7800.0,7495.396484375,35928100
2020-02-21 00:00:00+07:00,7875.0,7875.0,7725.0,7353.52783203125,47223000
2020-02-24 00:00:00+07:00,7600.0,7700.0,7475.0,7164.369140625,29756400
2020-02-25 00:00:00+07:00,7500.0,7625.0,7475.0,7093.43505859375,16988100
2020-02-26 00:00:00+07:00,7400.0,7425.0,7300.0,6904.27734375,36227700
2020-02-27 00:00:00+07:00,7250.0,7300.0,6925.0,6691.47412109375,29663200
2020-02-28 00:00:00+07:00,6800.0,7025.0,6675.0,6644.1845703125,52147500
2020-03-02 00:00:00+07:00,6950.0,6975.0,6550.0,6577.185546875,41380000
2020-03-03 00:00:00+07:00,6850.0,6950.0,6700.0,6625.90576171875,41705800
2020-03-04 00:00:00+07:00,6800.0,7000.0,6725.0,6772.0654296875,38848200
